SKU	Name	Image_URL
042067-01	Puma Online Store	https://ae.puma.com/media/custom_images/puma-og-logo.png
042067-01	Puma Future Match Negative Cut Goalkeeper Glove	http://europeansports.com/cdn/shop/files/042067_01.png?v=1736278489
042067-01	Puma Future Match NC Goalkeeper Gloves	http://soccerpost.com/cdn/shop/files/Screenshot2025-04-08at2.15.05PM_clipped_rev_1.png?v=1744136149
042067-02	Puma Online Store	https://sa.puma.com/media/custom_images/puma-og-logo.png
042067-02	PUMA プーマ フューチャー マッチ NC(イエロー) 042067 02 ゴールキーパー用品 | サッカーショップ【SWS】	https://sc3.locondo.jp/contents/commodity/shop/SKOB1347D/commodity/PU/PU630EU074019_1_l.jpg
042067-02	"Kemari87 KISHISPO / フューチャー マッチ NC

042067-02
イエローアラート"	https://www.kishispo.net/user_data/packages/default/common/img/logo_kishispo.gif
042067-02	PUMA Future Match NC Goalkeeper Gloves	https://d2lhrgc5rek5ye.cloudfront.net/pub/media/catalog/product/cache/c5cb1fc7f89dfcc45015a812ee4cca1a/0/4/042067-02_g01.jpg
042067-03	Guantes de Arquero Future Match Nc | Negro | Puma	https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa/global/042067/03/w/1000/h/1000/fnd/CHL/fmt/png
042067-03		https://www.facebook.com/tr?id=1473075673149232&ev=PageView&noscript=1
042067-03	Guantes Puma Futbol Match NC Unisex 042067 03 - Martí - Tienda de Deportes México	https://martimx.vtexassets.com/arquivos/ids/1402244/1127978372-1.png?v=638806173868670000
051156-01	PUMA Cat Wristband black 051156 01	https://sportano.com/img/986c30c27a3d26a3ee16c136f92f4ff5/4/0/4048148286555_40-jpg/puma-cat-wristband-black-051156-01-0.jpg
051156-01	Bandas Cat Wristband Unisex	https://www.sportline.com.pa/media/catalog/product/0/5/051156_01.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265
051156-01	PUMA Cat Náramek na ruku černý 051156 01	https://sportano.cz/img/986c30c27a3d26a3ee16c136f92f4ff5/4/0/4048148286555_40-jpg/puma-cat-naramek-na-ruku-cerny-051156-01-0.jpg
051156-01	PUMA Cat Wristband black-white 051156-01, 9,07 €	https://www.team-bekleidung.at/media/image/product/109223/lg/puma-cat-wristband-black-white-051156-01.jpg
051156-02	PUMA Cat Wristband white 051156 02	https://sportano.com/img/986c30c27a3d26a3ee16c136f92f4ff5/4/0/4048148286562_40-jpg/puma-cat-wristband-white-051156-02-0.jpg
051156-02	PUMA Cat Wristband white-black 051156-02, 9,07 €	https://www.team-bekleidung.at/media/image/product/109224/lg/puma-cat-wristband-white-black-051156-02.jpg
052212-02	PUMA Neck Warmer II football chimney black 052212 02	https://sportano.com/img/986c30c27a3d26a3ee16c136f92f4ff5/4/0/4051409664429_20-jpg/puma-neck-warmer-ii-football-chimney-black-052212-02-0.jpg
052212-02	PUMASoccer Neck Warmer In Black 052212-02 - Black	https://cdn.modesens.com/static/img/20250619tagline_ModeSens_Black_en.svg
052212-02	Puma Neck Warmer II | 05221202 | Official FC Shakhtar online shop	https://shop.shakhtar.com/images/ab__webp/detailed/12/05221202_jpeg.webp
052212-02	2022-23 Puma Snood/Neck Warmer (Adults)	https://classicfootballshirts.co.uk/pub/media/catalog/product/8/3/839a074cdb747c4cbc4422683bb348921db515cf9359fcb64c87dbd370bfd741.jpeg
052212-02	Voetbal scheenbeschermers Aanbiedingen • Tot 50% korting	https://www.supersales.be/assets/webapp/icons/og-image.png
054088-01	Puma Reversible Neck Warmer | 05408801 | Official FC Shakhtar online shop	https://shop.shakhtar.com/images/ab__webp/detailed/12/054088_01_jpeg.webp
054088-01	Пов'язка на шию Reversible Neck Warmer | Колір: Чорний | Puma Black-Future Blue | Puma | Арт: 054088_01	https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa/global/054088/01/w/1000/h/1000/fnd/UKR/fmt/png
054088-01		https://r.r10s.jp/com/img/logo/rakuten_group_red.svg
054088-01	BH Cool Designs Whoever Says Who spectioneer - Women's Soft & Comfortable Junior Cut T-Shirt	//fls-na.amazon.com/1/batch/1/OP/ATVPDKIKX0DER:130-2690521-1121652:7Z78BEPJW7JMAYPWBDD7$uedata=s:%2Frd%2Fuedata%3Fstaticb%26id%3D7Z78BEPJW7JMAYPWBDD7:0
054825-01	Puma Manchester City ESS Scarf	http://soccerpost.com/cdn/shop/files/Screenshot2025-07-01at12.02.55PM_clipped_rev_1.png?v=1751385815
076859-01	PUMA TeamGOAL 23 Teambag 54 l football bag red/black 076859 01	https://sportano.com/img/986c30c27a3d26a3ee16c136f92f4ff5/4/0/4062451932893_20-jpg/puma-teamgoal-23-teambag-54-l-football-bag-red-black-076859-01-0.jpg
076859-01	Bag Puma teamGOAL 23 size M 07685901	https://cdn.mybrand.shoes/483202-thickbox_default/bag-puma-teamgoal-23-size-m-076859-01.jpg
076859-01	Puma Team  Goal 23 Teambag at FOOTY.COM	https://productimages.footy.com/6671593a8555cfb4c050bc0e/0/640.webp
076859-01	Bag Puma teamGOAL 23 [size M] 076859-01	http://www.scentimelti.co.uk/cdn/shop/files/Bag_Puma_teamGOAL_23_size_M_076859-01_-_ScentiMelti_Home_Fragrance_Beauty_Gifts_UK-6060300.jpg?v=1732815692
076859-01	Team Sport - Anais Online	https://anaisgt.vtexassets.com/arquivos/ids/300136/GOAL-Medium-Duffel-Bag_2_11zon.jpg.jpg?v=638732708869070000
076859-01	Maleta Puma Teambag Goal 23 Talla M 076859-01 Negro Con Rojo - $ 780.29	https://http2.mlstatic.com/D_NQ_NP_941761-MLM81927904057_012025-O-maleta-puma-teambag-goal-23-talla-m-076859-01-negro-con-rojo.webp
078176-06		
078255-01	Nonmetallic Solid Wheel	/public/images/nsn_info_logo.png
078255-01	5340-01-091-1547 -  NONMETALLIC SOLID WHEEL | WBParts	https://www.wbparts.com/img/logo-wb.png?v2
078255-01	Model: 078255	/public/images/logo.png
078255-01	Whoops, our bad...	https://www.animasportiva.com/media/athlete2/default/image_4.png
078255-01	Zaino Calcio Puma Milan Backpac  078255-01 | Cisalfa Sport	/on/demandware.static/-/Sites-Cisalfa-Library/default/dwd9c1bbc5/demo/header/location.svg
078273-02	got Lipari? - Flexfit 6210 Structured Flat Bill Fitted Hat | Embroidered Trendy Baseball Cap for Men and Women	https://m.media-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB546805360_.png
078273-02	got Lipari? - A Nice Men's Adult Baseball Hat Cap	https://m.media-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB546805360_.png
079050-01	got mallorie? - Women's Soft Comfortable Short Sleeve T-Shirt	https://m.media-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB546805360_.png
079057-01	2022-23 Manchester City Puma Gym Bag	https://classicfootballshirts.co.uk/pub/media/catalog/product/b/7/b749d9df8378e483a0248d8279564e6890dc084ab1ab8005736917ea94515c1e.jpeg
079057-01	got malorie? - Women's Soft Comfortable Short Sleeve T-Shirt	https://m.media-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB546805360_.png
079057-01	2022-23 Manchester City Puma Gym Bag	https://classicfootballshirts.co.uk/pub/media/catalog/product/b/7/b749d9df8378e483a0248d8279564e6890dc084ab1ab8005736917ea94515c1e.jpeg
079057-01	Mochila Puma Manchester City Core	http://u90soccer.com/cdn/shop/files/ScreenShot2022-08-09at2.33.34PM_clipped_rev_1_1200x1200.png?v=1729153336
083789-01	Puma NOVA Match Pro Handball (083789-01) - H.C.  BERCHEM - Store | Peters-sports fir Veräiner	https://storage.e.jimdo.com/cdn-cgi/image/quality=85,fit=crop,format=auto,width=1200,height=630/image/400705946/753f71c8-c73e-443d-a7fa-2c3c6a08d679.png
083789-01	PUMA Nova Match Pro Ball	//fls-fe.amazon.com.au/1/batch/1/OP/A39IBJ37TRP1C6:356-7643645-4101640:8FY8K8D8HEW0YPX8P3TB$uedata=s:%2Frd%2Fuedata%3Fstaticb%26id%3D8FY8K8D8HEW0YPX8P3TB:0
083789-01	Handball Puma Nova Match Pro	https://www.facebook.com/tr?id=319400827901177&ev=PageView&noscript=1
083789-01	Puma  DHB Handball Nova Match Pro Fiery Coral/Fizzy Light	https://handballcompany.de/media/8c/58/c7/1696958586/405ff56f4f504cc2bf1ac85c8b393417.jpg
083791-01	PUMA NOVA Match size 3 handball	https://sportano.com/img/986c30c27a3d26a3ee16c136f92f4ff5/4/0/4065449745383_20-jpg/puma-nova-match-size-3-handball-0.jpg
083791-01	PUMA Nova Match DHB Handball 083791-01	https://www.sportspar.de/media/image/c2/97/79/083791-01-1.jpg
083791-01	Handball Puma Nova Match	https://handball-store.at/skin/frontend/premium/default/images/handball-store5.svg
083791-01	PUMA Nova Match DHB Handbal 083791-01	https://www.sportspar.de/media/image/c2/97/79/083791-01-1.jpg
083791-01	Puma Nova Match Handball hier kaufen.	https://www.joergs-sportladen.de/media/image/product/518182/lg/puma-nova-match-handball-083791-01-v-fluo-orange-blue-atoll-01.jpg
083791-01	Nova Match Handball Handball orange Puma 083791-01-3 - handballdirekt.de	//cdn.handballdirekt.de/list/P083791-01.jpg
083791-01	PUMA Nova Match DHB Handball 083791-01	https://www.sportspar.de/media/image/c2/97/79/083791-01-1.jpg
083791-01	PUMA Nova Match DHB Balón de balonmano 083791-01	https://www.sportspar.de/media/image/c2/97/79/083791-01-1.jpg
083792-01	32-083792-01 Circuit Card Assembly	/public/images/logo.png
083792-01	Part 32-083792-01 with NSN 5998013196216 of Northrop Grumman Systems Corporation  - Request a Quote	/assets/images/logo.webp
083792-01	got reiman? - Women's Soft Comfortable Short Sleeve T-Shirt	https://m.media-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB546805360_.png
083792-01	Model: 32-083792-01	/public/images/logo.png
083792-01	Handball Puma 0 Nova Training 083792-01	http://yoursportsperformance.com/cdn/shop/files/IMG_8729_594ce603-930d-4075-a946-cc3982154f18.jpg?v=1642297306
083792-01	083792 . Menbur Shop . OFFICIAL SITE & SHOP ONLINE	https://static.menbur.com/uploads/images/products/calahonda-negro-837920102hd-54d9c459047c27-87572578_fill_470_246.jpg
083792-01	CIRCUIT CARD ASSEMB	/app/ap/designV7.24/images/getQuote.png
083793-01	PUMA Nova Match DHB Handball 083791-01	https://www.sportspar.de/media/image/c2/97/79/083791-01-1.jpg
083793-01	Puma Nova Lite Handball hier kaufen.	https://www.joergs-sportladen.de/media/image/product/518184/lg/puma-nova-lite-handball-083793-01-v-fiery-coral-fizzy-light-01.jpg
083793-01	PUMA PUMA NOVA Lite Fiery Coral-Fizzy Light 083793-01, 14,27 €	https://www.team-bekleidung.at/media/image/product/219919/lg/puma-puma-nova-lite-fiery-coral-fizzy-light-083793-01.jpg
083793-01	Nova Lite Handball orange Puma 083793-01-0 - handballdirekt.de	//cdn.handballdirekt.de/list/P083793-01.jpg
083793-01	. Menbur Shop . OFFICIAL SITE & SHOP ONLINE	https://static.menbur.com/uploads/images/products/calardos-negro-837930102hd-54d9c45a14ff93-20712292_fill_470_246.jpg
083793-01	E-shop	data:image/svg+xml,%3Csvg width='47' height='58' viewBox='0 0 47 58' fill='none' xmlns='http://www.w3.org/2000/svg'%3E%3Cpath fill-rule='evenodd' clip-rule='evenodd' d='M23.9992 0.159385L24.006 0.164215L24.0306 0.181557L24.1316 0.252098C24.2216 0.314526 24.3562 0.407018 24.5319 0.52528C24.8834 0.761836 25.399 1.10131 26.0505 1.50939C27.3543 2.32602 29.1984 3.41497 31.3577 4.5032C35.7047 6.69395 41.2153 8.82283 46.1387 8.82283C46.6144 8.82283 47 9.20944 47 9.68635V34.3095C47 37.7248 45.4683 40.9108 43.2808 43.7255C41.0905 46.544 38.1911 49.0578 35.3263 51.1488C32.4568 53.2432 29.5924 54.9347 27.4482 56.1016C26.3752 56.6857 25.4801 57.1396 24.8517 57.4483C24.5375 57.6026 24.2899 57.7207 24.1199 57.8006C24.0349 57.8406 23.9692 57.871 23.9244 57.8916L23.8729 57.9152L23.8554 57.9232C23.8554 57.9232 23.8537 57.924 23.5 57.1366C23.1464 57.924 23.1458 57.9237 23.1458 57.9237L23.1408 57.9215L23.1271 57.9152L23.0756 57.8916C23.0308 57.871 22.9652 57.8406 22.8802 57.8006C22.7101 57.7207 22.4625 57.6027 22.1483 57.4483C21.52 57.1397 20.6249 56.6857 19.5518 56.1017C17.4076 54.9348 14.5432 53.2434 11.6737 51.149C8.80892 49.0581 5.90954 46.5443 3.71917 43.7258C1.5317 40.911 0 37.7249 0 34.3095V9.68635C0 9.20944 0.385631 8.82283 0.86133 8.82283C5.78466 8.82283 11.2954 6.69395 15.6423 4.5032C17.8016 3.41497 19.6457 2.32602 20.9495 1.50939C21.601 1.10131 22.1166 0.761836 22.4681 0.52528C22.6438 0.407018 22.7784 0.314526 22.8684 0.252098L22.9694 0.181557L22.994 0.164215L22.9997 0.160203C23.2985 -0.0528544 23.7003 -0.0536733 23.9992 0.159385ZM23.5 57.1366L23.1458 57.9237C23.3706 58.0252 23.6288 58.0255 23.8537 57.924L23.5 57.1366ZM23.5 56.1843C23.6529 56.1118 23.8527 56.0158 24.0938 55.8974C24.7035 55.5979 25.577 55.1549 26.6263 54.5838C28.7269 53.4406 31.5222 51.7891 34.3124 49.7526C37.1073 47.7126 39.8675 45.3076 41.9219 42.6641C43.9792 40.0168 45.2773 37.1977 45.2773 34.3095V10.5306C40.1814 10.3056 34.7548 8.14822 30.584 6.04625C28.3665 4.92867 26.4752 3.8118 25.1377 2.97407C24.4686 2.55497 23.9372 2.20512 23.5717 1.95916C23.5471 1.94256 23.5232 1.92642 23.5 1.91078C23.4769 1.92642 23.4529 1.94256 23.4283 1.95916C23.0628 2.20512 22.5314 2.55497 21.8623 2.97407C20.5248 3.8118 18.6335 4.92867 16.416 6.04625C12.2452 8.14822 6.8186 10.3056 1.72266 10.5306V34.3095C1.72266 37.1978 3.0208 40.0171 5.07807 42.6643C7.13246 45.3079 9.89275 47.7129 12.6876 49.7528C15.4778 51.7892 18.2731 53.4407 20.3736 54.5839C21.4229 55.155 22.2965 55.5979 22.9062 55.8974C23.1473 56.0158 23.347 56.1118 23.5 56.1843Z' fill='%231987C6'/%3E%3Cpath d='M13.609 33.7448C13.6442 37.6086 14.708 40.7025 16.7579 43.4226C16.927 43.6499 17.1665 43.8698 17.4131 43.9798C17.7794 44.1411 18.1668 43.9578 18.3852 43.6279C18.6247 43.2613 18.5966 42.8654 18.3218 42.4768C17.9132 41.8829 17.4765 41.3184 17.1242 40.6879C15.4406 37.6819 14.9475 34.456 15.7294 31.0614C16.3423 28.3853 17.9203 26.5158 20.2872 25.394C21.3791 24.8735 22.5415 24.6462 23.7179 24.7415C25.7749 24.8955 27.5854 25.7313 29.0013 27.3589C30.8259 29.4631 31.4881 31.9412 30.9738 34.7419C30.6357 36.5675 29.0929 37.8505 27.4022 37.7479C25.6622 37.6452 24.2745 36.2302 24.1124 34.3533C24.0772 33.9867 24.1406 33.5982 24.1899 33.2242C24.2745 32.645 24.0349 32.1758 23.5559 32.0512C23.0276 31.9192 22.6049 32.2198 22.457 32.8283C21.7384 35.871 23.7461 39.0456 26.6907 39.5368C29.572 40.0207 32.1503 38.0998 32.7138 35.0645C33.6437 30.0423 31.0724 25.2034 26.5358 23.4511C24.9437 22.8353 23.2953 22.6813 21.6327 23.0186C17.2229 23.913 14.3064 27.4615 13.764 31.8899C13.6795 32.623 13.6372 33.3709 13.609 33.7448Z' fill='%231987C6'/%3E%3Cpath d='M23.2011 17.1915C21.0481 17.3144 19.0174 17.7979 17.0876 18.8188C13.3072 20.8145 10.8445 24.023 9.57721 28.3444C9.54841 28.4442 9.5268 28.544 9.5052 28.6438C9.38279 29.2348 9.63482 29.7184 10.1389 29.8719C10.6141 30.0101 11.0462 29.7261 11.2478 29.1888C11.615 28.1832 11.9247 27.1393 12.3999 26.1875C13.5808 23.8234 15.309 22.0503 17.5125 20.7838C22.9275 17.6751 29.617 19.4329 33.2102 24.6447C34.1391 25.988 34.816 27.4694 35.2408 29.089C35.356 29.5188 35.572 29.8259 35.9969 29.8949C36.681 30.0101 37.185 29.396 36.9978 28.6438C36.6666 27.2621 36.1481 25.9573 35.4568 24.7445C33.3182 21.0064 30.2723 18.6192 26.319 17.6598C25.2893 17.4065 24.3532 17.2222 23.2011 17.1915Z' fill='%231987C6'/%3E%3Cpath d='M17.7434 33.7389C17.7725 39.4679 22.1746 44.0318 27.6827 44.0393C29.298 44.0393 30.8114 43.6385 32.2521 42.889C32.6523 42.6812 32.9361 42.3844 32.8997 41.8797C32.8487 41.1599 32.1502 40.7963 31.4954 41.1451C30.7095 41.5681 29.8873 41.8723 29.0142 42.0356C24.714 42.8445 20.4065 39.6609 19.708 35.1711C19.5333 34.0283 19.5479 32.9003 19.8098 31.7871C20.2537 29.8874 22.1819 28.648 24.0082 29.0636C25.9291 29.5015 27.1733 31.4384 26.8095 33.4049C26.795 33.4866 26.7731 33.5756 26.7659 33.6572C26.7004 34.2212 26.9769 34.6591 27.4425 34.7481C27.981 34.852 28.4175 34.5774 28.5485 34.0135C29.2543 30.9115 27.3552 27.7649 24.241 27.1713C21.4106 26.637 18.2455 28.5442 17.8671 32.3215C17.8089 32.8038 17.7798 33.2713 17.7434 33.7389Z' fill='%231987C6'/%3E%3Cpath d='M23.3578 12.9524C19.6759 12.9738 16.2538 13.92 13.1509 15.841C12.0523 16.524 11.065 17.3848 10.048 18.1817C9.84755 18.3382 9.66197 18.5587 9.55062 18.7864C9.36504 19.1706 9.53578 19.6188 9.88467 19.8536C10.2558 20.1026 10.7012 20.067 11.0575 19.754C11.4435 19.4125 11.8147 19.0568 12.223 18.7295C14.732 16.7018 17.59 15.4354 20.8117 14.9801C25.518 14.3184 29.7938 15.3856 33.6538 18.0821C34.2922 18.5303 34.8638 19.071 35.4651 19.5619C35.8511 19.8749 36.3262 19.8892 36.6974 19.6046C37.024 19.3485 37.1353 18.9074 36.9423 18.5089C36.883 18.3951 36.8013 18.2884 36.7048 18.203C33.4237 15.1651 29.5265 13.4576 25.0281 13.0449C24.4787 12.9951 23.9146 12.9809 23.3578 12.9524Z' fill='%231987C6'/%3E%3C/svg%3E%0A
083846-01	404 Not Found	http://yoursportsperformance.com/cdn/shop/files/IMG_8729_594ce603-930d-4075-a946-cc3982154f18.jpg?v=1642297306
083846-01	Football ball Puma BVB FTBLARCHIVE BALL yellow | AD Sport.store	https://www.adsport.cz/data/zbozi/puma/1200x630/453391.jpg
083846-01	PUMA Men's Borussia Dortmund ftblARCHIVE Football	//fls-eu.amazon.co.uk/1/batch/1/OP/A1F83G8C2ARO7P:262-2743294-7231740:P0KT4J5QQQ3R28DSMP8W$uedata=s:%2Frd%2Fuedata%3Fstaticb%26id%3DP0KT4J5QQQ3R28DSMP8W:0
083846-01	Puma BVB Archive Ball - Yellow	https://soccerandrugby.com/media/catalog/product/cache/f6b5eb721f2bbee3a9b82ea5ecb92000/083846-01.jpg
083846-01	Borussia Dortmund ftblARCHIVE Football	https://images.puma.net/images/083846/01/fnd/ZAF/w/600/h/600/fmt/png/bg/%23FAFAFA
083846-01	Balls football Puma Borussia Dortmund Ftbl Archive 08384601 Black | eBay	https://i.ebayimg.com/images/g/hrkAAeSwGodn61nY/s-l500.jpg
083846-01	Borussia Dortmund BVB 09 PUMA ftblARCHIVE Fußball 083846-01	https://www.sportspar.de/media/image/1b/ff/6a/083846-01-1.jpg
083847-01	PUMA Manchester City FtblArchive Soccer Ball	https://scheels.scene7.com/is/image/Scheels/19573080334?hei=50&wid=50
083847-01	Puma MCFC Archive Ball - Blue	https://soccerandrugby.com/media/catalog/product/cache/f6b5eb721f2bbee3a9b82ea5ecb92000/083847-01.jpg
083847-01	404 Not Found	https://br.puma.com/static/version1751367293/frontend/Oggetto/Puma/pt_BR/images/logo.svg
083847-01	Football ball Puma MCFC FTBLARCHIVE BALL blue | AD Sport.store	https://www.adsport.cz/data/zbozi/puma/1200x630/453392.jpg
083847-01	Puma Balón De Fútbol Manchester City Ftbl Archive	http://u90soccer.com/cdn/shop/files/083847-01-1_clipped_rev_1_1200x1200.png?v=1749766494
083847-01	Puma Manchester City Ftbl Archive Ball 083847 01 (5) - Footballs - Photopoint	https://static1.nordic.pictures/39840104-large_default/puma-manchester-city-ftbl-archive-ball-083847-01-5.jpg
083847-01	PUMA Pallone da calcio MANCHESTER CITY FTBL ARCHIVE - 083847-01	https://www.sportcentercesena.com/media/catalog/product/1/2/12223.jpg
083858-01	404 Not Found	https://cl.puma.com/static/version1747643379/frontend/Oggetto/Puma/es_CL/images/logo.svg
